Timestamp,MMSI,Distance_km
2025-01-30 00:05:53,265012140,3701.5657049121874
2025-01-30 00:02:41,265023550,3889.799729057394
2025-01-30 00:00:23,265060520,3904.7697426886684
2025-01-30 00:00:17,265411000,3972.9909547148495
2025-01-30 00:01:26,265516080,3933.8924003006496
2025-01-30 00:02:29,265522490,3937.8265893265916
2025-01-30 00:01:24,265526690,3935.288300425627
2025-01-30 00:04:42,265542540,3935.2775987594673
2025-01-30 00:02:34,265563720,3883.663349779012
2025-01-30 00:01:56,265591210,3904.7969647088194
2025-01-30 00:02:51,265698740,3899.862154084312
2025-01-30 00:02:21,265724000,3931.918756573593
2025-01-30 00:04:51,265772310,3890.0929672713173
2025-01-30 00:03:30,265781150,3859.281768433248
2025-01-30 00:05:37,265787380,3859.326157048064
2025-01-30 00:05:06,265798780,3923.2523147028833
2025-01-30 00:02:35,265807560,3933.8947565404724
2025-01-30 00:04:13,265830360,3934.1073995613665
2025-01-30 00:02:35,265859000,3844.3598721415365
2025-01-30 00:00:05,266066000,3704.887137781506
2025-01-30 00:01:11,266203000,3705.732908579112
2025-01-30 00:01:30,268249201,3904.698336895371
2025-01-30 00:02:55,277354000,3698.5159297801956
2025-01-30 00:07:50,304855000,4038.9887647024975
2025-01-30 00:03:37,305714000,3713.040338399462
2025-01-30 00:02:11,311001594,3701.468833424589
2025-01-30 00:02:46,372939000,3703.3250213816577
2025-01-30 00:01:29,538007841,3700.689363358335
2025-01-30 00:02:23,538009109,3709.2267241463055
2025-01-30 00:02:46,613908341,3709.2252747151424
2025-01-30 00:09:15,636016149,3674.8230611435315
2025-01-30 00:00:06,636023734,3688.9734175891526
2025-01-30 00:12:10,2579999,201.88838725972943
2025-01-30 00:12:12,2579999,201.88842291658054
2025-01-30 00:12:30,2579999,201.8881275421426
2025-01-30 00:15:03,218030430,4060.2639417302794
2025-01-30 00:13:31,219005474,3773.0968261888165
2025-01-30 00:11:32,219017009,3792.2154878947463
2025-01-30 00:17:06,219018258,3971.494487703768
2025-01-30 00:14:57,219027738,3934.453112209651
2025-01-30 00:14:05,219029963,3727.3617985693495
2025-01-30 00:17:34,219030557,3948.3292459308573
2025-01-30 00:17:04,244020613,56.35868928053811
2025-01-30 00:18:42,244740080,4094.2628137795036
2025-01-30 00:17:31,246766000,54.100826296079305
2025-01-30 00:13:46,477112100,3816.2916725171476
2025-01-30 00:22:50,2579999,201.888996574223
2025-01-30 00:26:00,211399000,4076.945180477986
2025-01-30 00:25:03,244020613,53.95834732764382
2025-01-30 00:25:29,250002903,193.89492819599633
2025-01-30 00:25:37,250002903,193.89405561050512
2025-01-30 00:27:10,352001758,4055.495825233351
2025-01-30 00:34:26,219023054,3772.604954330914
2025-01-30 00:33:33,219030216,3874.6123179676306
2025-01-30 00:32:00,255805979,4057.437701785773
2025-01-30 00:33:51,265572330,759.9452461725168
2025-01-30 00:33:59,265572330,759.9452461725168
2025-01-30 00:41:10,2579999,201.88983892007687
2025-01-30 00:41:12,2579999,201.890199026845
2025-01-30 00:41:50,2579999,201.88980984804454
2025-01-30 00:51:50,2579999,201.88551730064276
2025-01-30 01:05:28,219010706,87.42560808272668
2025-01-30 00:59:59,219027828,3902.039623502986
2025-01-30 00:59:37,244020613,40.72325402802331
2025-01-30 01:03:23,636022775,665.613042107688
2025-01-30 01:10:30,2579999,201.88935906935225
2025-01-30 01:20:50,2579999,201.8872223180178
2025-01-30 01:23:40,209916000,632.1191438747716
2025-01-30 01:20:01,219423000,626.7978282448585
2025-01-30 01:39:10,2579999,201.88708968908
2025-01-30 01:39:12,2579999,201.888076221221
2025-01-30 01:39:30,2579999,201.88785683784863
2025-01-30 01:41:05,265509150,3699.762308530067
2025-01-30 01:49:50,2579999,201.88745039186117
2025-01-30 02:02:52,245613000,10687.997082246246
2025-01-30 02:02:16,636020815,616.5572841786428
2025-01-30 02:08:10,2579999,201.8886109535872
2025-01-30 02:08:12,2579999,201.8886109535872
2025-01-30 02:08:30,2579999,201.88859037192552
2025-01-30 02:06:03,211190000,604.7821832202158
2025-01-30 02:11:19,218197000,167.8052308562159
2025-01-30 02:12:42,219009338,971.6363917812981
2025-01-30 02:18:50,2579999,201.88645032511494
2025-01-30 02:28:52,2579999,201.88625253915743
2025-01-30 02:29:10,2579999,201.886838633675
2025-01-30 02:47:10,2579999,201.88952691409816
2025-01-30 02:48:52,210510000,77.98579566306603
2025-01-30 02:48:57,210510000,78.0294892778568
2025-01-30 02:48:50,219448000,719.8086230105528
2025-01-30 02:46:13,257683000,681.3931878439172
2025-01-30 02:44:35,636017570,667.3412222097971
2025-01-30 02:44:55,636017570,667.206271428483
2025-01-30 02:45:35,636017570,667.1942116691698
2025-01-30 02:45:54,636017570,667.060845015818
2025-01-30 02:58:10,2579999,201.89124574725454
2025-01-30 02:58:50,2579999,201.88849850749483
2025-01-30 02:59:00,2579999,201.88841129119928
2025-01-30 02:59:30,2579999,201.88768642541888
2025-01-30 02:51:37,212499000,10882.298318854333
2025-01-30 02:51:44,212499000,10882.350135542283
2025-01-30 02:51:58,255802840,3521.3912264121004
2025-01-30 02:51:45,636021040,580.4065093725674
2025-01-30 03:06:10,2579999,201.8866753421829
2025-01-30 03:06:12,2579999,201.88609583646166
2025-01-30 03:06:30,2579999,201.88525468341143
2025-01-30 03:02:32,246607000,194.32725706708803
2025-01-30 03:04:13,311028300,2137.6170519601183
2025-01-30 03:16:50,2579999,201.88640438792007
2025-01-30 03:15:21,218197000,167.80617194071812
2025-01-30 03:27:10,2579999,201.88649826763168
2025-01-30 03:29:00,210510000,11557.744895837304
2025-01-30 03:29:19,210510000,11557.636258656614
2025-01-30 03:23:53,230981000,317.9248204014566
2025-01-30 03:29:26,255814000,6451.011091583311
2025-01-30 03:37:10,2579999,201.8827025846037
2025-01-30 03:37:12,2579999,201.88408758523283
2025-01-30 03:37:30,2579999,201.88408758523283
2025-01-30 03:30:58,209276000,976.040376787152
2025-01-30 03:31:00,209276000,976.052056938339
2025-01-30 03:35:51,219472000,8161.743198108231
2025-01-30 03:36:32,219472000,8161.742086157893
2025-01-30 03:45:50,2579999,201.88742884939504
2025-01-30 03:55:50,2579999,201.88072556374004
2025-01-30 03:56:10,2579999,201.88205900647768
2025-01-30 03:57:10,2579999,201.88226233983863
2025-01-30 03:49:01,212499000,618.6162708134214
2025-01-30 03:49:08,212499000,618.701677430627
2025-01-30 03:52:58,219423000,264.5152481525736
2025-01-30 04:06:30,2579999,201.88304101712492
2025-01-30 04:06:22,212882000,650.2853674753213
2025-01-30 04:14:50,2579999,201.8874459214459
2025-01-30 04:24:50,2579999,201.8907217437288
2025-01-30 04:24:52,2579999,201.89130125027768
2025-01-30 04:25:10,2579999,201.89060545815934
2025-01-30 04:24:10,265572330,747.818306456054
2025-01-30 04:31:10,219000429,611.6146298268492
2025-01-30 04:43:50,2579999,201.88761785231293
2025-01-30 04:54:10,2579999,201.88583774863292
2025-01-30 04:47:02,219004145,3990.798948315537
2025-01-30 05:03:50,2579999,201.88618196439253
2025-01-30 05:04:10,2579999,201.8885454105809
2025-01-30 05:04:12,2579999,201.88858572393454
2025-01-30 05:04:30,2579999,201.88904894082907
2025-01-30 05:21:46,244468000,2914.908062752208
2025-01-30 05:24:02,235116828,1106.622720734635
2025-01-30 05:27:57,266169000,3751.0432597002296
2025-01-30 05:43:50,2579999,201.88787932503828
2025-01-30 05:41:21,210399000,81.08516896792547
2025-01-30 05:41:24,210399000,81.08634939906244
2025-01-30 05:49:03,219027906,3699.2060677059167
2025-01-30 05:47:59,219033460,3712.8539669973397
2025-01-30 05:49:29,246925000,1970.7425607877026
2025-01-30 05:54:10,2579999,201.88659031263148
2025-01-30 05:52:58,219000429,11853.993754696236
2025-01-30 05:57:47,219016665,196.5488787065161
2025-01-30 06:02:10,2579999,201.8853103734132
2025-01-30 06:02:20,2579999,201.88536193987682
2025-01-30 06:02:30,2579999,201.88573328124343
2025-01-30 06:05:51,211190000,1360.3349368826696
2025-01-30 06:05:54,250002903,193.90621898714187
2025-01-30 06:07:36,250002903,193.91346914465183
2025-01-30 06:12:50,2579999,201.8862340590522
2025-01-30 06:11:58,219019518,3920.9423124986783
2025-01-30 06:23:10,2579999,201.89033587086703
2025-01-30 06:24:32,219025067,3884.3980192085287
2025-01-30 06:25:41,219025212,3711.7883272548997
2025-01-30 06:20:52,265527030,3699.7973394046503
2025-01-30 06:41:32,2579999,201.88328756612557
2025-01-30 06:41:50,2579999,201.88322942341313
2025-01-30 06:40:24,211188000,723.6926302943285
2025-01-30 06:44:06,211765740,4024.8631894495165
2025-01-30 06:38:55,219009338,13019.899025414572
2025-01-30 06:38:53,265829020,3812.7519108792844
2025-01-30 06:49:10,2579999,201.88484207922986
2025-01-30 06:52:10,2579999,201.885131526028
2025-01-30 06:52:50,2579999,201.8860414053654
2025-01-30 06:52:52,2579999,201.88609954898266
2025-01-30 06:53:10,2579999,201.88634995413287
2025-01-30 06:48:51,265572330,41.59720385654374
2025-01-30 06:48:59,265572330,41.597389973228225
2025-01-30 06:58:29,305741000,610.3734595718165
2025-01-30 06:58:34,305741000,610.4062331228338
2025-01-30 07:02:30,2579999,201.88492161446797
2025-01-30 07:10:50,2579999,201.8876334229437
2025-01-30 07:02:50,245489000,2914.908285161896
2025-01-30 07:06:19,265572330,747.9179140439031
2025-01-30 07:06:30,265572330,747.9178086419748
2025-01-30 07:17:48,211188000,13991.604246272005
2025-01-30 07:16:42,266469000,3109.2642506712536
2025-01-30 07:21:10,2579999,201.88752704107597
2025-01-30 07:26:25,219000429,604.6386141963133
2025-01-30 07:24:47,245662000,4046.182430002515
2025-01-30 07:31:10,2579999,201.88694053128526
2025-01-30 07:31:12,2579999,201.8870277457495
2025-01-30 07:31:30,2579999,201.8868354899561
2025-01-30 07:34:25,219031429,3712.7366469514996
2025-01-30 07:41:30,2579999,201.88449179065373
2025-01-30 07:41:32,2579999,201.88459024861115
2025-01-30 07:41:50,2579999,201.88507595214813
2025-01-30 07:40:25,219005882,3925.7263224245826
2025-01-30 07:44:28,219017946,3944.2632276464956
2025-01-30 07:52:14,265809910,3933.927142179979
2025-01-30 08:00:10,2579999,201.8865503822707
2025-01-30 08:00:30,2579999,201.8869554583665
2025-01-30 08:02:33,250002903,193.85723935533247
2025-01-30 08:03:50,265572330,94.5156876478747
2025-01-30 08:04:00,265572330,94.5156876478747
2025-01-30 08:04:41,219028973,733.1497131306045
2025-01-30 08:04:47,219028973,733.149592774856
2025-01-30 08:18:50,2579999,201.88621446429383
2025-01-30 08:18:52,2579999,201.88604661980827
2025-01-30 08:19:10,2579999,201.88615632081917
2025-01-30 08:14:56,211727510,1360.3517277810595
2025-01-30 08:15:25,219019887,174.61566617006176
2025-01-30 08:29:10,2579999,201.88903944670557
2025-01-30 08:29:20,2579999,201.889097589117
2025-01-30 08:29:30,2579999,201.88874407073024
2025-01-30 08:39:34,219009338,1936.9441609373002
2025-01-30 08:47:50,2579999,201.88529181868566
2025-01-30 08:47:52,2579999,201.88488015667284
2025-01-30 08:48:30,2579999,201.88532089090003
2025-01-30 08:58:50,2579999,201.88821491624677
2025-01-30 09:06:30,2579999,201.8904624302091
2025-01-30 09:06:50,2579999,201.89124544103112
2025-01-30 09:17:10,2579999,201.88780978369343
2025-01-30 09:19:11,265572330,124.78783800994852
2025-01-30 09:19:20,265572330,124.78846190884924
2025-01-30 09:27:30,2579999,201.88533574221486
2025-01-30 09:29:41,211894140,3941.554967938174
2025-01-30 09:37:50,2579999,201.88707800225902
2025-01-30 09:35:22,205210000,731.0243418212802
2025-01-30 09:36:40,265572330,747.8182486329292
2025-01-30 09:36:50,265572330,747.8183729561472
2025-01-30 09:50:10,2579999,201.88606373645842
2025-01-30 09:49:11,219472000,8161.74297571668
2025-01-30 09:49:21,219472000,8161.74353168969
2025-01-30 09:56:30,2579999,201.88724376131708
2025-01-30 10:02:39,219022341,3987.967978591314
